ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code
8140521,HT374490,06/28/2011 09:00:00 PM,042XX W SCHOOL ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,False,True,1731,17.0,30.0,16.0,20
8223025,HT456859,08/19/2011 04:00:00 PM,048XX S KEDVALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,815,8.0,23.0,57.0,14
8399661,HT632211,12/14/2011 06:00:00 PM,015XX W SHERWIN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,2423,24.0,49.0,1.0,03
8629929,HV302517,05/25/2012 06:55:00 AM,023XX E 100TH ST,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,True,True,431,4.0,7.0,51.0,02
8675868,HV351230,06/24/2012 10:20:00 AM,112XX S DR MARTIN LUTHER KING JR DR,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,531,5.0,9.0,49.0,05
8905836,HV579781,11/28/2012 03:00:00 AM,054XX S SAWYER AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),False,False,822,8.0,14.0,63.0,06
8913909,HV586936,12/02/2012 03:00:00 PM,092XX S HOYNE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2221,22.0,19.0,72.0,06
9008000,HW155030,02/12/2013 07:50:00 PM,013XX N HAMLIN AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,2535,25.0,30.0,23.0,08B
9028501,HW175829,03/01/2013 09:20:00 PM,059XX S WESTERN AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,True,False,825,8.0,16.0,66.0,26
9212740,HW358795,07/11/2013 09:30:00 PM,005XX W LOCUST ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,1823,18.0,27.0,8.0,06
9260010,HW405485,08/13/2013 12:30:00 AM,069XX S DAMEN AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,735,7.0,17.0,67.0,06
9396894,HW540410,11/19/2013 11:00:00 PM,046XX S CICERO AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,OTHER,False,True,814,8.0,23.0,56.0,04B
9423666,HW567048,11/30/2013 04:00:00 PM,001XX S MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,TAXICAB,False,False,114,1.0,42.0,32.0,11
9493571,HX147460,02/11/2014 12:30:00 PM,013XX S PAULINA ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",True,False,1233,12.0,2.0,28.0,08B
9676550,HX326529,07/01/2014 11:30:00 AM,076XX S EVANS AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,True,False,624,6.0,6.0,69.0,04B
9765904,HX415932,09/05/2014 12:45:00 AM,041XX W ADDISON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1732,17.0,30.0,16.0,18
9830995,HX480505,10/24/2014 03:32:00 PM,075XX N SEELEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,2424,24.0,49.0,1.0,18
10480766,HZ220519,04/09/2016 09:00:00 PM,024XX N LOTUS AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2515,25.0,30.0,19.0,06
10129406,HY306142,06/18/2015 11:50:00 AM,0000X W TERMINAL ST,0820,THEFT,$500 AND UNDER,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,False,False,1651,16.0,41.0,76.0,06
1509436,G254212,05/02/2001 05:00:00 PM,057XX W 64 ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,812,8.0,,,26
1536035,G286187,05/17/2001 06:30:00 PM,059XX S FRANCISCO AV,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,824,8.0,,,07
1538738,G290561,05/20/2001 10:38:35 AM,031XX W PERSHING RD,0330,ROBBERY,AGGRAVATED,SIDEWALK,True,False,913,9.0,,,03
1547075,G301611,05/18/2001 09:00:00 AM,029XX N SHERIDAN RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2333,19.0,,,26
